Close,High,Low,Open,time_close,time_open,time_period_end,Date,trades_count,Volume
1131926.0,1132010.0,1128000.0,1130617.0,2020-09-29T00:14:57.5860000Z,2020-09-29T00:00:03.4810000Z,2020-09-29T00:15:00.0000000Z,2020-09-29T00:00:00.0000000Z,359,18.4408
1132950.0,1133557.0,1131925.0,1131926.0,2020-09-29T00:29:55.6480000Z,2020-09-29T00:15:01.8990000Z,2020-09-29T00:30:00.0000000Z,2020-09-29T00:15:00.0000000Z,143,5.535
1133381.0,1133575.0,1131925.0,1132958.0,2020-09-29T00:44:38.3450000Z,2020-09-29T00:30:01.9780000Z,2020-09-29T00:45:00.0000000Z,2020-09-29T00:30:00.0000000Z,190,8.4834
1132007.0,1133381.0,1132006.0,1133381.0,2020-09-29T00:59:57.1930000Z,2020-09-29T00:45:02.6360000Z,2020-09-29T01:00:00.0000000Z,2020-09-29T00:45:00.0000000Z,82,4.1312
1130986.0,1132454.0,1130985.0,1132007.0,2020-09-29T01:14:57.9110000Z,2020-09-29T01:00:02.9600000Z,2020-09-29T01:15:00.0000000Z,2020-09-29T01:00:00.0000000Z,161,10.0327
1130446.0,1131446.0,1130000.0,1130986.0,2020-09-29T01:29:42.1140000Z,2020-09-29T01:15:02.1580000Z,2020-09-29T01:30:00.0000000Z,2020-09-29T01:15:00.0000000Z,111,8.3118
1131885.0,1131926.0,1130446.0,1130446.0,2020-09-29T01:44:47.0140000Z,2020-09-29T01:30:02.2280000Z,2020-09-29T01:45:00.0000000Z,2020-09-29T01:30:00.0000000Z,87,3.7745
1130000.0,1131886.0,1130000.0,1131885.0,2020-09-29T01:59:48.0570000Z,2020-09-29T01:45:00.8010000Z,2020-09-29T02:00:00.0000000Z,2020-09-29T01:45:00.0000000Z,144,13.0809
1130555.0,1130557.0,1129500.0,1130001.0,2020-09-29T02:14:54.6900000Z,2020-09-29T02:00:02.0420000Z,2020-09-29T02:15:00.0000000Z,2020-09-29T02:00:00.0000000Z,83,7.0302
1130446.0,1130556.0,1130000.0,1130556.0,2020-09-29T02:29:54.6010000Z,2020-09-29T02:15:02.7070000Z,2020-09-29T02:30:00.0000000Z,2020-09-29T02:15:00.0000000Z,92,4.3869
1130519.0,1131873.0,1130445.0,1130446.0,2020-09-29T02:44:29.4440000Z,2020-09-29T02:30:02.7960000Z,2020-09-29T02:45:00.0000000Z,2020-09-29T02:30:00.0000000Z,79,4.1372
1129946.0,1130520.0,1129500.0,1130520.0,2020-09-29T02:58:49.8570000Z,2020-09-29T02:45:02.3930000Z,2020-09-29T03:00:00.0000000Z,2020-09-29T02:45:00.0000000Z,195,17.3528
1129946.0,1129946.0,1129945.0,1129946.0,2020-09-29T03:14:45.0420000Z,2020-09-29T03:00:03.0170000Z,2020-09-29T03:15:00.0000000Z,2020-09-29T03:00:00.0000000Z,59,6.6826
1130002.0,1131000.0,1129945.0,1129946.0,2020-09-29T03:29:56.3800000Z,2020-09-29T03:15:02.7080000Z,2020-09-29T03:30:00.0000000Z,2020-09-29T03:15:00.0000000Z,110,9.8974
1130999.0,1131000.0,1129945.0,1130002.0,2020-09-29T03:44:38.1670000Z,2020-09-29T03:30:02.4990000Z,2020-09-29T03:45:00.0000000Z,2020-09-29T03:30:00.0000000Z,46,3.68
1130000.0,1131000.0,1130000.0,1131000.0,2020-09-29T03:59:44.7380000Z,2020-09-29T03:45:00.5780000Z,2020-09-29T04:00:00.0000000Z,2020-09-29T03:45:00.0000000Z,146,12.8029
1130001.0,1130001.0,1130000.0,1130001.0,2020-09-29T04:14:38.5860000Z,2020-09-29T04:00:02.4990000Z,2020-09-29T04:15:00.0000000Z,2020-09-29T04:00:00.0000000Z,38,2.7295
1131400.0,1131500.0,1130001.0,1130001.0,2020-09-29T04:28:39.6130000Z,2020-09-29T04:15:02.7110000Z,2020-09-29T04:30:00.0000000Z,2020-09-29T04:15:00.0000000Z,95,7.3952
1131928.0,1132486.0,1130420.0,1131401.0,2020-09-29T04:44:08.7890000Z,2020-09-29T04:30:02.8550000Z,2020-09-29T04:45:00.0000000Z,2020-09-29T04:30:00.0000000Z,102,6.5954
1131219.0,1131928.0,1131147.0,1131928.0,2020-09-29T04:59:47.3700000Z,2020-09-29T04:45:02.7580000Z,2020-09-29T05:00:00.0000000Z,2020-09-29T04:45:00.0000000Z,106,8.8464
1130557.0,1131219.0,1129900.0,1131218.0,2020-09-29T05:14:32.3490000Z,2020-09-29T05:00:02.1630000Z,2020-09-29T05:15:00.0000000Z,2020-09-29T05:00:00.0000000Z,133,11.6915
1130213.0,1130557.0,1129196.0,1130557.0,2020-09-29T05:28:02.5200000Z,2020-09-29T05:15:02.8050000Z,2020-09-29T05:30:00.0000000Z,2020-09-29T05:15:00.0000000Z,72,4.9317
1129341.0,1130992.0,1129341.0,1130214.0,2020-09-29T05:44:39.8720000Z,2020-09-29T05:30:02.6780000Z,2020-09-29T05:45:00.0000000Z,2020-09-29T05:30:00.0000000Z,143,9.3663
1129197.0,1130471.0,1129196.0,1129615.0,2020-09-29T05:58:57.7240000Z,2020-09-29T05:45:02.6880000Z,2020-09-29T06:00:00.0000000Z,2020-09-29T05:45:00.0000000Z,131,10.4308
1131642.0,1131682.0,1128868.0,1129196.0,2020-09-29T06:14:57.3300000Z,2020-09-29T06:00:01.5700000Z,2020-09-29T06:15:00.0000000Z,2020-09-29T06:00:00.0000000Z,110,6.091
1131677.0,1132043.0,1131677.0,1131681.0,2020-09-29T06:29:57.8420000Z,2020-09-29T06:15:02.2150000Z,2020-09-29T06:30:00.0000000Z,2020-09-29T06:15:00.0000000Z,82,5.7748
1132645.0,1132645.0,1131677.0,1131678.0,2020-09-29T06:44:54.7660000Z,2020-09-29T06:30:02.7650000Z,2020-09-29T06:45:00.0000000Z,2020-09-29T06:30:00.0000000Z,188,9.6947
1136998.0,1136999.0,1132058.0,1132645.0,2020-09-29T06:59:41.5030000Z,2020-09-29T06:45:02.4830000Z,2020-09-29T07:00:00.0000000Z,2020-09-29T06:45:00.0000000Z,247,13.164
1135500.0,1136999.0,1135500.0,1136997.0,2020-09-29T07:14:58.0090000Z,2020-09-29T07:00:00.5120000Z,2020-09-29T07:15:00.0000000Z,2020-09-29T07:00:00.0000000Z,98,5.1152
1134914.0,1135501.0,1134196.0,1135501.0,2020-09-29T07:29:49.2640000Z,2020-09-29T07:15:02.3470000Z,2020-09-29T07:30:00.0000000Z,2020-09-29T07:15:00.0000000Z,84,4.6189
1135878.0,1135878.0,1134915.0,1134915.0,2020-09-29T07:44:58.4290000Z,2020-09-29T07:30:02.3830000Z,2020-09-29T07:45:00.0000000Z,2020-09-29T07:30:00.0000000Z,89,3.2039
1134743.0,1135878.0,1134346.0,1135878.0,2020-09-29T07:59:04.5680000Z,2020-09-29T07:45:02.0860000Z,2020-09-29T08:00:00.0000000Z,2020-09-29T07:45:00.0000000Z,67,4.3969
1134700.0,1134747.0,1134196.0,1134744.0,2020-09-29T08:14:37.8970000Z,2020-09-29T08:00:02.3440000Z,2020-09-29T08:15:00.0000000Z,2020-09-29T08:00:00.0000000Z,54,3.6996
1135553.0,1135553.0,1134480.0,1134700.0,2020-09-29T08:29:57.7970000Z,2020-09-29T08:15:02.1580000Z,2020-09-29T08:30:00.0000000Z,2020-09-29T08:15:00.0000000Z,131,12.1433
1136901.0,1136998.0,1135553.0,1135553.0,2020-09-29T08:44:35.8530000Z,2020-09-29T08:30:02.1500000Z,2020-09-29T08:45:00.0000000Z,2020-09-29T08:30:00.0000000Z,112,6.1557
1135903.0,1136901.0,1135799.0,1136901.0,2020-09-29T08:58:01.3310000Z,2020-09-29T08:45:02.9160000Z,2020-09-29T09:00:00.0000000Z,2020-09-29T08:45:00.0000000Z,69,3.4331
1135999.0,1137559.0,1135905.0,1135905.0,2020-09-29T09:14:21.2330000Z,2020-09-29T09:00:02.0250000Z,2020-09-29T09:15:00.0000000Z,2020-09-29T09:00:00.0000000Z,101,4.3753
1134500.0,1136261.0,1134500.0,1135904.0,2020-09-29T09:29:57.8530000Z,2020-09-29T09:15:02.7070000Z,2020-09-29T09:30:00.0000000Z,2020-09-29T09:15:00.0000000Z,123,7.3223
1134822.0,1134832.0,1134415.0,1134501.0,2020-09-29T09:44:58.4160000Z,2020-09-29T09:30:02.7270000Z,2020-09-29T09:45:00.0000000Z,2020-09-29T09:30:00.0000000Z,63,3.1847
1133818.0,1134823.0,1133360.0,1134823.0,2020-09-29T09:59:55.6710000Z,2020-09-29T09:45:02.4640000Z,2020-09-29T10:00:00.0000000Z,2020-09-29T09:45:00.0000000Z,146,7.2331
