product_code,timestamp,tick_id,best_bid,best_ask,best_bid_size,best_ask_size,total_bid_depth,total_ask_depth,ltp,volume,volume_by_product
BTC_JPY,2020-05-28T23:56:13.947,12675859,1030045.0,1030500.0,0.32,0.01,1702.48801127,1952.56983026,1030100.0,120464.77061829,6144.15133703
BTC_JPY,2020-05-28T23:56:19.327,12676023,1029754.0,1030458.0,0.32,0.3,1700.77690375,1950.99417261,1030469.0,120460.94162305,6143.43833703
BTC_JPY,2020-05-28T23:56:24.407,12676156,1030000.0,1030415.0,0.1,0.1252,1701.23406265,1951.5144333,1030469.0,120453.97192487,6142.93833703
BTC_JPY,2020-05-28T23:56:28.54,12676266,1030000.0,1030372.0,0.1,0.1688,1701.06251444,1951.58468026,1030080.0,120456.77057024,6142.96748703
BTC_JPY,2020-05-28T23:56:34.043,12676442,1029754.0,1030326.0,0.0605,0.4011,1700.15534186,1947.98896084,1030000.0,120457.43095574,6143.06748703
BTC_JPY,2020-05-28T23:56:39.733,12676645,1029275.0,1029961.0,0.68078935,0.3,1694.72294966,1951.53549591,1029457.0,120470.88785457,6143.21298703
BTC_JPY,2020-05-28T23:56:43.767,12676779,1029275.0,1029924.0,0.68078935,0.7841,1699.29801255,1952.8133214000002,1029554.0,120469.82794836,6143.32008703
BTC_JPY,2020-05-28T23:56:48.92,12676907,1029276.0,1029858.0,0.4801,0.045989999999999996,1700.41211442,1956.20402139,1029275.0,120479.19828996,6153.08008503
BTC_JPY,2020-05-28T23:56:53.9,12677036,1029461.0,1029856.0,0.32,0.01,1702.0428213,1957.73950817,1029275.0,120479.43465968,6152.08908503
BTC_JPY,2020-05-28T23:56:58.843,12677141,1029480.0,1030000.0,1.1,0.01,1702.84881643,1952.1920432999998,1029464.0,120464.63897298,6150.03074315
BTC_JPY,2020-05-28T23:57:03.707,12677246,1029557.0,1029999.0,0.5342,0.01,1703.76054897,1955.84686583,1029464.0,120459.99570576,6150.03074315
BTC_JPY,2020-05-28T23:57:08.83,12677345,1029561.0,1029999.0,0.5342,0.01,1702.20054896,1955.98839583,1029464.0,120458.76160242,6150.03074315
BTC_JPY,2020-05-28T23:57:13.74,12677466,1029572.0,1030415.0,0.1,0.04445,1701.65694896,1957.01891583,1029464.0,120457.55700927,6150.03074315
BTC_JPY,2020-05-28T23:57:19.097,12677560,1029557.0,1030381.0,0.5342,0.1,1702.87694896,1956.70856583,1029464.0,120459.86920068,6150.03074315
BTC_JPY,2020-05-28T23:57:24.773,12677686,1029975.0,1030374.0,0.6297,0.05,1706.06851643,1955.5956333000001,1029999.0,120465.88536223,6150.60074315
BTC_JPY,2020-05-29T00:00:08.727,12681618,1030951.0,1031695.0,0.1,0.1,1704.17873279,1936.99071465,1031706.0,120460.08785743,6146.10945429
BTC_JPY,2020-05-29T00:00:14.73,12681820,1032007.0,1032500.0,0.536,0.02,1705.95744814,1924.00955131,1032454.0,120477.02356760002,6151.07085438
BTC_JPY,2020-05-29T00:00:17.793,12681885,1032343.0,1032560.0,0.32,0.1,1705.61894814,1925.75468391,1032500.0,120483.3448458,6151.18277103
BTC_JPY,2020-05-29T00:00:23.953,12682010,1032801.0,1033000.0,0.70159957,7.1919,1705.59165597,1924.47708181,1032866.0,120478.28567352,6151.64577103
BTC_JPY,2020-05-29T00:00:29.643,12682101,1032801.0,1032998.0,0.70159957,0.01,1708.62535611,1927.3912039,1032866.0,120477.89047977,6151.64577103
BTC_JPY,2020-05-29T00:00:34.693,12682260,1032106.0,1032779.0,0.02,0.03,1708.48375641,1938.6820039,1032801.0,120471.59378176,6151.4633906
BTC_JPY,2020-05-29T00:00:39.133,12682413,1032106.0,1032586.0,0.02,0.041,1711.75459904,1934.70900377,1032777.0,120467.35803356,6150.80937304
BTC_JPY,2020-05-29T00:00:44.31,12682550,1031890.0,1032572.0,0.00781406,0.1388,1709.43233395,1939.98604416,1031890.0,120464.21921542,6149.76968205
