,Unnamed: 0,product_code,timestamp,tick_id,best_bid,best_ask,best_bid_size,best_ask_size,total_bid_depth,total_ask_depth,ltp,volume,volume_by_product
0,0.0,BTC_JPY,2020-05-20T03:28:41.24,5872336,1050456.0,1051000.0,0.5363,0.03859,2183.20261924,1639.75392867,1051000.0,137992.61412865,8329.09338163
1,0.0,BTC_JPY,2020-05-20T03:28:44.997,5872396,1050556.0,1051005.0,0.2,0.1,2186.13921924,1639.59133867,1051000.0,137991.65876854,8329.09338163
2,0.0,BTC_JPY,2020-05-20T03:28:49.467,5872414,1050556.0,1051000.0,0.2,0.039439999999999996,2186.94071924,1639.63077867,1051000.0,137983.31161007,8329.09338163
3,0.0,BTC_JPY,2020-05-20T03:28:54.657,5872435,1050556.0,1050995.0,0.2,0.03949,2187.54441924,1639.63082867,1051000.0,137979.50761386,8329.09338163
4,0.0,BTC_JPY,2020-05-20T03:28:59.467,5872455,1050556.0,1050988.0,0.2,0.05,2187.04441924,1639.68332867,1051000.0,137965.66407472,8329.09338163
5,0.0,BTC_JPY,2020-05-20T03:29:03.963,5872477,1050556.0,1051000.0,0.3,0.01,2186.21441924,1639.50133867,1051000.0,137962.42235042,8328.89338163
6,0.0,BTC_JPY,2020-05-20T03:29:10.333,5872518,1050556.0,1051000.0,0.3,0.01,2188.98081924,1638.88374437,1051000.0,137960.967831,8328.89338163
7,0.0,BTC_JPY,2020-05-20T03:29:14.367,5872534,1050557.0,1051000.0,0.05,0.01,2189.23081924,1638.30133868,1051000.0,137960.413031,8328.89338163
8,0.0,BTC_JPY,2020-05-20T03:29:19.733,5872558,1050558.0,1051000.0,0.05,0.01,2186.35241924,1637.98133868,1051000.0,137962.823031,8328.89338163
9,0.0,BTC_JPY,2020-05-20T03:29:24.41,5872640,1050564.0,1051000.0,0.05,1.922,2186.52041924,1640.76533868,1051000.0,137962.97071569,8329.08138163
10,0.0,BTC_JPY,2020-05-20T03:29:29.19,5872689,1050567.0,1050999.0,0.05,0.30000013,2185.69069506,1640.69262868,1051000.0,137958.35055277,8329.08138163
11,0.0,BTC_JPY,2020-05-20T03:29:34.417,5872775,1050575.0,1050999.0,0.05,0.30000013,2185.74901924,1640.79262868,1051000.0,137956.52400059,8329.06198163
12,0.0,BTC_JPY,2020-05-20T03:29:39.257,5872846,1050579.0,1051000.0,0.4912,1.22200013,2186.41761924,1640.02262881,1051000.0,137957.07995567,8330.06198163
13,0.0,BTC_JPY,2020-05-20T03:29:44.637,5872930,1050593.0,1051000.0,0.4912,1.22200013,2184.16761924,1640.09262881,1051000.0,137950.82895567,8330.06198163
14,0.0,BTC_JPY,2020-05-20T03:29:49.403,5872997,1050603.0,1051000.0,0.05,1.73445134,2187.85951924,1641.44935584,1051000.0,137949.77667799,8330.07198163
15,0.0,BTC_JPY,2020-05-20T03:29:55.023,5873074,1050556.0,1051000.0,0.1,1.68745134,2187.34740814,1641.58808002,1051000.0,137948.97207453,8330.11898163
0,,BTC_JPY,2020-05-20T03:29:59.68,5873122,1050620.0,1051000.0,0.2,1.69745134,2186.94860814,1641.35879002,1051000.0,137945.534697,8329.91898163
0,,BTC_JPY,2020-05-20T03:30:04.233,5873186,1050623.0,1050999.0,0.05,0.30000013,2186.91344902,1640.59480002,1051000.0,137950.18607564,8329.91898163
0,,BTC_JPY,2020-05-20T03:30:09.37,5873284,1050566.0,1051000.0,0.4412,1.69745134,2186.83344902,1641.13843584,1051000.0,137939.39485379,8329.78897863
0,,BTC_JPY,2020-05-20T03:30:14.517,5873351,1050624.0,1050999.0,0.05,0.30000013,2186.40124902,1641.97416002,1051000.0,137937.91271567,8329.78897863
0,,BTC_JPY,2020-05-20T03:30:20.117,5873373,1050624.0,1050999.0,0.05,0.30000013,2185.01324902,1640.86672584,1051000.0,137937.7178321,8329.78897863
0,,BTC_JPY,2020-05-20T03:30:24.287,5873399,1050624.0,1050999.0,0.05,0.30000013,2187.02328915,1640.82898028,1051000.0,137939.2465205,8330.28897863
0,,BTC_JPY,2020-05-20T03:30:29.967,5873488,1050636.0,1051000.0,0.2,0.001,2187.98052484,1639.27337881,1051000.0,137931.42869156,8331.18607863
0,,BTC_JPY,2020-05-20T03:30:34.387,5873589,1050558.0,1050742.0,0.051,0.32,2179.77028902,1639.21965881,1050558.0,137934.45258034,8330.72944283
0,,BTC_JPY,2020-05-20T03:30:39.47,5873683,1050515.0,1050804.0,0.118201,0.03717,2180.81619002,1639.41344628,1050515.0,137928.84284153,8332.28224183
0,,BTC_JPY,2020-05-20T03:30:44.113,5873749,1050515.0,1050940.0,0.118201,0.04203,2180.88246193,1640.8044782,1050515.0,137916.04044529,8332.27224183
0,,BTC_JPY,2020-05-20T03:30:49.73,5873798,1050515.0,1050996.0,0.118201,0.2,2180.92208093,1640.9913482,1050515.0,137903.08781,8332.27124183
0,,BTC_JPY,2020-05-20T03:30:54.893,5873871,1050515.0,1050935.0,0.118201,0.15,2181.33573564,1641.0295782,1050995.0,137887.38037791,8332.17849158
