,Unnamed: 0,product_code,timestamp,tick_id,best_bid,best_ask,best_bid_size,best_ask_size,total_bid_depth,total_ask_depth,ltp,volume,volume_by_product
0,,BTC_JPY,2020-05-20T03:30:59.287,5873969,1050517.0,1051000.0,0.4405,1.03,2183.84412307,1639.16862956,1050935.0,137886.7842782,8332.17949158
0,,BTC_JPY,2020-05-20T03:31:04.393,5874066,1050995.0,1051000.0,0.9,1.03,2185.65282306,1639.17385073,1050995.0,137883.64245286,8332.22949158
0,,BTC_JPY,2020-05-20T03:31:09.32,5874114,1050515.0,1050998.0,0.118201,0.1,2183.39702306,1639.4648106,1050995.0,137867.67177947,8332.64699159
0,,BTC_JPY,2020-05-20T03:31:14.163,5874173,1050515.0,1050770.0,0.118201,0.2,2184.12857887,1639.76113073,1050995.0,137865.83628152,8332.64699159
0,,BTC_JPY,2020-05-20T03:31:20.157,5874232,1050515.0,1050761.0,0.118201,0.15,2183.63461855,1641.87995073,1050762.0,137865.35760658,8332.65699159
0,,BTC_JPY,2020-05-20T03:31:24.243,5874269,1050515.0,1050759.0,0.218201,0.15,2182.89165296,1631.81898527,1050762.0,137862.41654157,8332.62699159
0,,BTC_JPY,2020-05-20T03:31:29.717,5874335,1050515.0,1050911.0,0.218201,0.50000013,2184.73315309,1640.6246099,1050873.0,137860.10599614,8332.74699159
0,,BTC_JPY,2020-05-20T03:31:34.737,5874374,1050515.0,1050908.0,0.218201,0.15,2184.72313664,1640.61856045,1050873.0,137856.7487508,8332.68699159
0,,BTC_JPY,2020-05-20T03:31:39.797,5874404,1050515.0,1050906.0,0.218201,0.05,2184.72313664,1641.24073045,1050873.0,137856.6758708,8332.55051159
0,,BTC_JPY,2020-05-20T03:31:44.507,5874446,1050515.0,1050900.0,0.218201,0.05,2185.22313664,1641.45259045,1050873.0,137857.0758708,8332.55051159
0,,BTC_JPY,2020-05-20T03:31:48.937,5874464,1050515.0,1050898.0,0.218201,0.2,2184.76413664,1641.49528045,1050873.0,137850.18127253,8332.28051159
0,,BTC_JPY,2020-05-20T03:31:54.94,5874527,1050515.0,1050894.0,0.218201,0.2,2184.22463664,1641.64942045,1050873.0,137834.01954361,8331.86808559
0,,BTC_JPY,2020-05-20T03:32:00.113,5874595,1050516.0,1050944.0,0.1,0.3793,2183.82323666,1641.27072032,1050670.0,137827.48153336,8332.06808559
0,,BTC_JPY,2020-05-20T03:32:04.603,5874690,1050515.0,1050891.0,0.01820087,0.4838,2182.44818948,1630.86951353,1050515.0,137798.82419698,8332.36808572
0,,BTC_JPY,2020-05-20T03:32:09.797,5874791,1050515.0,1050880.0,0.01820087,0.4142,2182.37418961,1636.15252353,1050881.0,137796.34512451,8332.41808572
0,,BTC_JPY,2020-05-20T03:32:14.45,5874889,1050515.0,1050736.0,0.01820087,0.425,2176.67515339,1635.00583926,1050881.0,137797.57741661,8332.41808572
0,,BTC_JPY,2020-05-20T03:32:20.177,5875053,1049906.0,1050245.0,0.45,0.05,2179.16034168,1636.18746306,1049895.0,137808.86285714,8333.61359946
0,,BTC_JPY,2020-05-20T03:32:24.493,5875159,1049919.0,1050533.0,0.1445,0.15,2181.51893221,1626.53159968,1049906.0,137814.66644769,8333.64359946
0,,BTC_JPY,2020-05-20T03:32:29.75,5875264,1049803.0,1050523.0,0.1,0.4124,2182.5533312,1635.94776968,1050552.0,137817.33212259,8334.39059946
0,,BTC_JPY,2020-05-20T03:32:34.937,5875368,1049801.0,1050445.0,0.41,0.1,2182.7845312,1638.31518968,1050552.0,137817.29213861,8334.38059946
0,,BTC_JPY,2020-05-20T03:32:39.2,5875448,1049779.0,1050439.0,0.32,0.4137,2184.8495312,1636.78518968,1050552.0,137814.32013861,8334.38059946
0,,BTC_JPY,2020-05-20T03:32:44.8,5875557,1049779.0,1050426.0,0.32,0.5113,2184.81890458,1637.13756306,1050552.0,137812.58775582,8334.38059946
0,,BTC_JPY,2020-05-20T03:32:49.773,5875652,1049791.0,1050416.0,0.1,0.15,2185.03473532,1637.1871838,1050552.0,137809.54984382,8334.38059946
0,,BTC_JPY,2020-05-20T03:32:54.277,5875755,1049779.0,1050405.0,0.32,0.5124,2185.78990458,1642.82614306,1050552.0,137800.92699217,8334.38059946
0,,BTC_JPY,2020-05-20T03:32:59.44,5875851,1049911.0,1050393.0,0.1,0.4146,2187.34595433,1643.1861538,1050397.0,137798.73325365,8334.39059946
0,,BTC_JPY,2020-05-20T03:33:04.4,5875929,1049910.0,1050385.0,0.81,0.05,2186.71117732,1627.63102679,1050397.0,137794.03399132,8334.38059946
0,,BTC_JPY,2020-05-20T03:33:10.017,5876123,1050753.0,1051100.0,0.1,0.005,2189.41870911,1610.61104375,1051100.0,137813.80778096,8336.23131029
0,,BTC_JPY,2020-05-20T03:33:14.607,5876252,1051022.0,1051500.0,0.3521,0.309964,2189.32344506,1621.11461875,1051321.0,137826.17736015,8337.43631029
0,,BTC_JPY,2020-05-20T03:33:20.177,5876391,1051501.0,1051650.0,0.05,0.06,2187.76998712,1607.71385994,1051541.0,137834.66282736,8339.76527429
0,,BTC_JPY,2020-05-20T03:33:24.723,5876455,1051569.0,1051852.0,0.1,0.04,2185.55277098,1619.55093899,1051650.0,137844.7732603,8339.83527429
0,,BTC_JPY,2020-05-20T03:33:29.053,5876524,1051451.0,1051852.0,0.1,0.04,2185.78710308,1619.74609899,1051650.0,137852.04179131,8339.84546384
0,,BTC_JPY,2020-05-20T03:33:34.523,5876680,1051122.0,1051441.0,0.41,0.01,2185.98458119,1610.60661993,1051441.0,137832.23198469,8339.17636384
0,,BTC_JPY,2020-05-20T03:33:39.433,5876795,1051333.0,1051614.0,0.47249999,0.1,2188.1869822,1608.9154298,1051441.0,137823.70258587,8338.36636384
0,,BTC_JPY,2020-05-20T03:33:45.01,5876921,1051446.0,1051852.0,0.5096,0.035,2187.5198822,1618.53932993,1051441.0,137814.31028111,8338.36636384
0,,BTC_JPY,2020-05-20T03:33:49.563,5877016,1051348.0,1051852.0,0.41,1.88761276,2183.81738118,1621.72209269,1051441.0,137808.4776096,8338.36636384
0,,BTC_JPY,2020-05-20T03:33:54.817,5877087,1051237.0,1051845.0,0.4105,0.05,2188.51598118,1621.66549371,1051852.0,137804.40130782,8338.37636384
0,,BTC_JPY,2020-05-20T03:33:59.883,5877174,1051464.0,1051851.0,0.4133,0.1,2187.88842034,1608.87688172,1051852.0,137810.37332064,8338.17636384
0,,BTC_JPY,2020-05-20T03:34:05.96,5877273,1051257.0,1051851.0,0.05,0.1,2182.68312021,1622.69036185,1051852.0,137814.095449,8338.17636384
0,,BTC_JPY,2020-05-20T03:34:09.623,5877322,1051282.0,1051851.0,0.41,0.1,2186.08652034,1621.85668172,1051852.0,137815.276949,8338.17636384
0,,BTC_JPY,2020-05-20T03:34:14.173,5877362,1051224.0,1051851.0,0.32,0.1,2185.12652021,1639.38668185,1051852.0,137817.72892064,8338.17636384
0,,BTC_JPY,2020-05-20T03:34:19.5,5877429,1051387.0,1051851.0,0.4105,0.1,2187.97922034,1639.51752185,1051852.0,137822.31484054,8338.17636384
0,,BTC_JPY,2020-05-20T03:34:24.6,5877487,1051414.0,1051852.0,0.405,1.68761276,2187.37762034,1640.12426185,1051852.0,137827.68739454,8338.07636384
0,,BTC_JPY,2020-05-20T03:34:29.793,5877597,1051443.0,1051852.0,0.1,1.52761276,2189.39162034,1636.57826185,1051852.0,137826.33703067,8338.23636384
0,,BTC_JPY,2020-05-20T03:34:34.387,5877652,1051458.0,1051852.0,0.4081,1.52761276,2190.22072034,1637.55598185,1051852.0,137829.51999134,8338.23636384
0,,BTC_JPY,2020-05-20T03:34:39.94,5877698,1051473.0,1051852.0,0.05,1.52761276,2189.89620021,1636.74297185,1051852.0,137816.77030257,8338.22636384
0,,BTC_JPY,2020-05-20T03:34:45.06,5877743,1051497.0,1051852.0,0.2,1.72761276,2189.93070034,1637.01685185,1051852.0,137813.52867707,8337.64616242
0,,BTC_JPY,2020-05-20T03:34:49.913,5877784,1051521.0,1051852.0,0.05,1.72761276,2189.08090034,1637.01585185,1051852.0,137807.86156904,8337.59616242
0,,BTC_JPY,2020-05-20T03:34:54.5,5877862,1051325.0,1051837.0,0.1,0.4045,2184.48006222,1628.80523371,1051851.0,137804.75365756,8337.38648342
0,,BTC_JPY,2020-05-20T03:35:00.113,5877986,1050985.0,1051797.0,0.4053,0.1,2184.19427824,1639.59685987,1051325.0,137809.69652709,8337.48648342
