product_code,timestamp,tick_id,best_bid,best_ask,best_bid_size,best_ask_size,total_bid_depth,total_ask_depth,ltp,volume,volume_by_product
BTC_JPY,2020-06-03T23:55:05.34,21854190,1051500.0,1051856.0,0.01,0.05898,1961.83542351,1245.66445898,1051500.0,98902.20381603,4270.10786683
BTC_JPY,2020-06-03T23:55:10.03,21854339,1051102.0,1051771.0,0.1031,0.32,1956.559345,1245.62592834,1050851.0,98907.44283473,4273.4677147
BTC_JPY,2020-06-03T23:55:14.71,21854473,1051114.0,1051830.0,0.15,0.26,1959.7574329999998,1246.55225834,1051500.0,98913.37332744,4273.6677147
BTC_JPY,2020-06-03T23:55:19.793,21854623,1051124.0,1051842.0,0.5,0.9996,1960.6945629999998,1248.15592833,1051830.0,98885.49127118,4274.157715199999
BTC_JPY,2020-06-03T23:55:24.97,21854738,1051148.0,1051830.0,0.5361,0.66,1961.5156329999998,1248.09602833,1051830.0,98867.6803422,4271.79152395
BTC_JPY,2020-06-03T23:55:29.91,21854857,1051164.0,1051830.0,0.5343,0.2,1961.158953,1247.69852833,1051830.0,98857.61436655,4271.99152395
BTC_JPY,2020-06-03T23:55:34.29,21854959,1051182.0,1051830.0,0.5825,0.2,1965.80055287,1246.94252584,1051830.0,98857.15896118,4271.99152395
BTC_JPY,2020-06-03T23:55:40.107,21855119,1051281.0,1052101.0,0.05751000000000001,0.15,1966.62535754,1245.37030491,1051830.0,98873.01156044,4271.79152395
BTC_JPY,2020-06-03T23:55:44.11,21855249,1051907.0,1052426.0,0.3,0.1,1970.61928273,1242.17370492,1052103.0,98880.31110222,4272.06152394
BTC_JPY,2020-06-03T23:55:49.3,21855415,1051920.0,1052414.0,0.2,0.5335,1967.57979383,1245.14080492,1052426.0,98883.29902616,4272.08152394
BTC_JPY,2020-06-03T23:55:54.667,21855541,1051906.0,1052232.0,0.04,0.5335,1969.61389916,1245.80892202,1052426.0,98885.0860866,4272.08152394
BTC_JPY,2020-06-03T23:55:59.103,21855610,1051906.0,1052240.0,0.04,0.27,1969.97069916,1242.78959215,1052240.0,98882.98548466,4272.13152394
BTC_JPY,2020-06-03T23:56:04.387,21855716,1051907.0,1052462.0,0.3593,0.4206,1965.12919916,1241.94222602,1052240.0,98884.07917708,4272.13052394
BTC_JPY,2020-06-03T23:56:10.22,21855844,1051909.0,1052434.0,0.8335,0.32,1965.77552866,1244.23735164,1051908.0,98884.98392604,4272.14052294
BTC_JPY,2020-06-03T23:56:14.253,21855979,1051929.0,1052626.0,0.35,0.1,1964.59049277,1239.85227576,1051908.0,98884.09225439,4270.61882481
BTC_JPY,2020-06-03T23:56:19.367,21856108,1051940.0,1052609.0,0.15,0.5335,1964.61097277,1243.19676118,1051939.0,98887.17336209,4270.65802294
BTC_JPY,2020-06-03T23:56:24.587,21856204,1051940.0,1052625.0,0.15,0.5335,1964.98983277,1245.41237574,1051939.0,98891.39080735,4270.65802294
