product_code,timestamp,tick_id,best_bid,best_ask,best_bid_size,best_ask_size,total_bid_depth,total_ask_depth,ltp,volume,volume_by_product
BTC_JPY,2020-05-20T23:55:03.623,7293087,1025647.0,1025947.0,0.17501989999999998,0.05,1875.00036593,1865.08478468,1025647.0,117704.51276279,6683.20099016
BTC_JPY,2020-05-20T23:55:08.103,7293163,1025647.0,1026147.0,0.17501989999999998,0.684,1872.2504958,1864.76423468,1025647.0,117697.15380969,6682.70099016
BTC_JPY,2020-05-20T23:55:13.533,7293321,1025655.0,1026289.0,0.3824,0.05636,1877.18244015,1864.61821694,1026147.0,117706.89337989,6682.30099016
BTC_JPY,2020-05-20T23:55:18.57,7293437,1025648.0,1026283.0,0.3819,0.05,1877.46113346,1864.73528681,1026147.0,117700.95743597,6682.30099016
BTC_JPY,2020-05-20T23:55:23.877,7293566,1025649.0,1026547.0,0.0735,0.15,1872.05577151,1865.09025694,1025647.0,117698.47816842,6682.35099016
BTC_JPY,2020-05-20T23:55:28.783,7293710,1025647.0,1026130.0,0.1250199,0.3828,1872.76748759,1865.12273951,1026147.0,117696.63854568,6681.87099016
BTC_JPY,2020-05-20T23:55:34.08,7293857,1025647.0,1026115.0,0.1250199,0.3817,1874.91814306,1866.21612164,1026147.0,117674.38428539,6681.33099016
BTC_JPY,2020-05-20T23:55:38.227,7293949,1025647.0,1026105.0,0.1250199,0.05,1871.48610984,1864.62916177,1026107.0,117668.04727357,6681.03099016
BTC_JPY,2020-05-20T23:55:43.54,7294045,1025647.0,1026093.0,0.1250199,0.060870000000000014,1875.34837284,1864.10056499,1026107.0,117655.66554029,6681.02399016
BTC_JPY,2020-05-20T23:55:48.043,7294120,1025647.0,1026088.0,0.1250199,0.05,1875.50842906,1865.00866799,1026107.0,117640.90144001,6680.60399016
BTC_JPY,2020-05-20T23:55:53.127,7294221,1025647.0,1026080.0,0.1250199,0.1,1875.25095906,1864.76216799,1026086.0,117631.32958611,6680.13469117
BTC_JPY,2020-05-20T23:55:59.003,7294350,1025647.0,1026069.0,0.1250199,0.05,1874.92527092,1865.29691125,1026086.0,117627.81346267,6680.12469117
BTC_JPY,2020-05-20T23:56:04.007,7294454,1025647.0,1026056.0,0.1250199,0.3808,1875.11743232,1866.61320112,1026086.0,117627.80899724,6680.12469117
BTC_JPY,2020-05-20T23:56:08.043,7294547,1025647.0,1026045.0,0.1250199,0.3818,1875.84212995,1867.79461591,1026056.0,117622.62679716,6680.32469117
BTC_JPY,2020-05-20T23:56:14.03,7294687,1025661.0,1026086.0,0.1,0.92115075,1872.70975045,1866.66589574,1026086.0,117606.32729442,6677.39764043
BTC_JPY,2020-05-20T23:56:18.313,7294769,1025647.0,1026086.0,0.0750199,0.92115075,1872.54373282,1867.3137219999999,1026086.0,117574.64158446,6669.41209743
BTC_JPY,2020-05-20T23:56:23.677,7294861,1025648.0,1026085.0,0.3778,0.04,1873.27705281,1867.1699219999998,1026085.0,117539.95615021,6664.61209704
BTC_JPY,2020-05-20T23:56:28.88,7294932,1025647.0,1026081.0,0.0750199,0.061370000000000015,1877.03197281,1867.1912920000002,1026085.0,117523.78995485,6661.05009691
BTC_JPY,2020-05-20T23:56:33.337,7295037,1025647.0,1026072.0,0.0750199,0.05,1877.54634827,1867.69641216,1026085.0,117511.22855949,6660.85009691
BTC_JPY,2020-05-20T23:56:38.507,7295161,1025647.0,1026063.0,0.0250199,0.06552000000000001,1877.58671827,1867.66515216,1025647.0,117504.59347221,6660.90009691
BTC_JPY,2020-05-20T23:56:43.813,7295256,1025647.0,1026055.0,0.0250199,0.05,1877.78960826,1867.38023216,1025647.0,117491.86765548,6660.30330128
BTC_JPY,2020-05-20T23:56:48.597,7295365,1025672.0,1026085.0,0.05,0.21232013,1878.19710826,1865.66678216,1026085.0,117468.68294225,6660.39830128
